market,ticker,date,close
US,AAPL,2020-01-02,75.09
US,AAPL,2020-12-31,132.69
US,AAPL,2021-12-31,177.57
US,AAPL,2022-12-30,129.93
US,AAPL,2023-12-29,193.60
US,AAPL,2024-12-31,195.00
US,MSFT,2020-01-02,160.62
US,MSFT,2020-12-31,222.42
US,MSFT,2021-12-31,336.32
US,MSFT,2022-12-30,239.82
US,MSFT,2023-12-29,376.04
US,MSFT,2024-12-31,420.00
US,NVDA,2020-01-02,59.82
US,NVDA,2020-12-31,131.00
US,NVDA,2021-12-31,298.00
US,NVDA,2022-12-30,146.14
US,NVDA,2023-12-29,495.22
US,NVDA,2024-12-31,495.00
US,COST,2020-01-02,296.39
US,COST,2020-12-31,375.94
US,COST,2021-12-31,567.06
US,COST,2022-12-30,451.15
US,COST,2023-12-29,661.69
US,COST,2024-12-31,720.00
US,DLTR,2020-01-02,90.00
US,DLTR,2020-12-31,100.00
US,DLTR,2021-12-31,135.00
US,DLTR,2022-12-30,140.00
US,DLTR,2023-12-29,150.00
US,DLTR,2024-12-31,155.00
US,NVR,2020-01-02,3500.00
US,NVR,2020-12-31,4700.00
US,NVR,2021-12-31,5600.00
US,NVR,2022-12-30,5000.00
US,NVR,2023-12-29,6200.00
US,NVR,2024-12-31,6800.00
CN,000333.SZ,2020-01-02,56.00
CN,000333.SZ,2020-12-31,88.00
CN,000333.SZ,2021-12-31,84.00
CN,000333.SZ,2022-12-30,56.00
CN,000333.SZ,2023-12-29,70.00
CN,000333.SZ,2024-12-31,75.00
CN,000651.SZ,2020-01-02,62.00
CN,000651.SZ,2020-12-31,60.00
CN,000651.SZ,2021-12-31,57.00
CN,000651.SZ,2022-12-30,45.00
CN,000651.SZ,2023-12-29,35.00
CN,000651.SZ,2024-12-31,38.00
CN,002594.SZ,2020-01-02,47.00
CN,002594.SZ,2020-12-31,162.00
CN,002594.SZ,2021-12-31,275.00
CN,002594.SZ,2022-12-30,241.00
CN,002594.SZ,2023-12-29,211.00
CN,002594.SZ,2024-12-31,180.00
CN,300750.SZ,2020-01-02,107.00
CN,300750.SZ,2020-12-31,161.00
CN,300750.SZ,2021-12-31,555.00
CN,300750.SZ,2022-12-30,374.00
CN,300750.SZ,2023-12-29,182.00
CN,300750.SZ,2024-12-31,190.00
CN,600519.SS,2020-01-02,1139.00
CN,600519.SS,2020-12-31,1798.00
CN,600519.SS,2021-12-31,2021.00
CN,600519.SS,2022-12-30,1615.00
CN,600519.SS,2023-12-29,1630.00
CN,600519.SS,2024-12-31,1700.00
